,titulo,enlace,ubicacion,zona,precio_publicado,precio_pesos,terreno_m2,construidos_m2,cuartos,banos,estacionamiento,contacto
165,Preventa Departamentos de Lujo en Cancun con Club de Golf y Lancha,https://www.inmuebles24.com/propiedades/preventa-departamentos-de-lujo-en-cancun-con-club-de-56637079.html,"blvd Puerto de Acapulco lote UC66, Antaal Puerto Cancun,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 9,999,000",9999000.0,206,206,3,,3,56637079
166,Departamento en Maralago Zona Hotelera,https://www.inmuebles24.com/propiedades/departamento-en-maralago-zona-hotelera-56946314.html,"Maralago,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 780,000",14461200.0,175,175,2,,1,56946314
167,"Condominio de Lujo Frente a La Playa, Ubicado en La Zona Mas Exclusiva de Cancun",https://www.inmuebles24.com/propiedades/condominio-de-lujo-frente-a-la-playa-ubicado-en-la-55815119.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 1,679,125",31130977.5,327,327,4,,,55815119
168,Cancun Towers en Puerto Cancun - Departamento en Venta / Apartment For Sale,https://www.inmuebles24.com/propiedades/cancun-towers-en-puerto-cancun-departamento-en-venta-56828848.html,"Bonampak Lote 7,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 6,950,000",6950000.0,211,211,3,,2,56828848
169,Departamento Bay View Grand en Renta,https://www.inmuebles24.com/propiedades/departamento-bay-view-grand-en-renta-55827228.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 850,000",850000.0,242,242,3,,2,55827228
170,Bay View Grand.,https://www.inmuebles24.com/propiedades/bay-view-grand.-55861661.html,"Bay View Grand Zona Hotelera Cancún.,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 1,200,000",22248000.0,290,290,4,,2,55861661
171,Sky Residence Departamento en Venta Vista Espectacular,https://www.inmuebles24.com/propiedades/sky-residence-departamento-en-venta-vista-espectacular-57054996.html," Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 9,850,000",9850000.0,260,260,4,,2,57054996
172,Departamento en Venta Cancún en Isla Real con Vista a La Laguna,https://www.inmuebles24.com/propiedades/departamento-en-venta-cancun-en-isla-real-con-vista-a-56809059.html,"Departamento en Venta Cancún en Isla Real con Vista a La Laguna,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 6,750,000",6750000.0,,,2,,1,56809059
173,Departamento Expectacular en La Amada,https://www.inmuebles24.com/propiedades/departamento-expectacular-en-la-amada-52889377.html,"Zona Hotelera,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","USD 890,000",16500600.0,200,200,2,,2,52889377
174,Departamento Remodelado Acabados de Lujo Isola Cancun 3rec.,https://www.inmuebles24.com/propiedades/departamento-remodelado-acabados-de-lujo-isola-cancun-51129407.html,"Isola Puerto Cancún,  Zona Hotelera, Cancún","Zona Hotelera, Cancún","MN 6,290,000",6290000.0,154,154,3,,2,51129407
